@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
31.23373602	,	-0.000750725	,	16.96251192
30.70870164	,	-0.000750049	,	16.88009027
30.2471814	,	-0.000659315	,	16.80769287
29.7871968	,	-0.000657121	,	16.63545011
29.26169598	,	-0.000750715	,	16.30586891
28.67018679	,	-0.000845013	,	15.93489587
28.14524975	,	-0.00074991	,	15.60578273
27.687413	,	-0.000654052	,	15.3187462
27.23119127	,	-0.000651745	,	15.03266585
26.77659173	,	-0.000649428	,	14.74760273
26.32362157	,	-0.0006471	,	14.46356134
25.7984211	,	-0.000750286	,	14.13416356
25.27383386	,	-0.00074941	,	13.8052127
24.82374433	,	-0.000642985	,	13.52303977
24.37533367	,	-0.000640587	,	13.24185752
23.85047266	,	-0.000749801	,	12.91266955
23.32627249	,	-0.000748857	,	12.58396144
22.88088677	,	-0.000636265	,	12.30474123
22.4372286	,	-0.000633797	,	12.02653912
21.91282878	,	-0.000749143	,	11.69763728
21.38913658	,	-0.000748132	,	11.36924774
20.94864517	,	-0.000629273	,	11.09309969
20.50992914	,	-0.000626737	,	10.81799666
19.98611257	,	-0.000748309	,	10.48741305
19.46304959	,	-0.000747233	,	10.08241536
19.0276397	,	-0.000622014	,	9.745358761
18.59405222	,	-0.000619411	,	9.40964147
18.07094122	,	-0.000747301	,	9.004530688
17.548629	,	-0.00074616	,	8.600114343
17.11848463	,	-0.000614492	,	8.267139525
16.69020891	,	-0.000611822	,	7.935535098
16.16792605	,	-0.000746118	,	7.531060752
15.64648635	,	-0.000744914	,	7.127320039
15.22178835	,	-0.000606711	,	6.798567167
14.79900443	,	-0.000603977	,	6.471215018
14.27767245	,	-0.00074476	,	6.067472008
13.75722725	,	-0.000743493	,	5.664501367
13.33815336	,	-0.000598677	,	5.340108194
12.92103821	,	-0.000595879	,	5.017145339
12.40077998	,	-0.000743226	,	4.614228672
11.88145141	,	-0.000741898	,	4.21212266
11.46817628	,	-0.000590393	,	3.892224565
11.0569038	,	-0.000587532	,	3.573785654
10.53784231	,	-0.000741516	,	3.171790415
10.01975258	,	-0.000740128	,	2.770643671
9.612447875	,	-0.000581864	,	2.520051245
9.207188958	,	-0.000578941	,	2.273901175
8.689447231	,	-0.000739631	,	1.959328617
8.058566982	,	-0.000901257	,	1.576036537
7.542206067	,	-0.000737658	,	1.262502948
7.14105209	,	-0.000573077	,	1.018945374
6.74201273	,	-0.000570056	,	0.776573049
6.345092844	,	-0.000567028	,	0.535488075
5.95029729	,	-0.000563994	,	0.295693404
5.435160563	,	-0.00073591	,	-0.017301848
4.921112317	,	-0.000734355	,	-0.329530503
4.530638577	,	-0.00055782	,	-0.56659531
4.142330108	,	-0.000554726	,	-0.802449761
3.628851945	,	-0.00073354	,	-1.114440649
2.989517958	,	-0.000913334	,	-1.502875402
2.477619392	,	-0.000731284	,	-1.813690555
2.093873256	,	-0.000548209	,	-2.046666721
2.033307146	,	-8.65E-05	,	-2.083180023
1.973927171	,	-8.48E-05	,	-2.119246169
1.649609415	,	-0.000463311	,	-2.31645971
1.649368661	,	-3.44E-07	,	-2.316331616
1.9200986	,	0.000386757	,	-2.151649247
2.196484339	,	0.000394837	,	-1.983769199
2.003649955	,	-0.000275478	,	-2.101305882
1.480732282	,	-0.000747025	,	-2.4192027
1.434072778	,	-6.67E-05	,	-2.447140759
1.768253548	,	0.000477401	,	-2.243822244
2.104889495	,	0.000480908	,	-2.03934962
2.059303471	,	-6.51E-05	,	-2.06737725
1.67685614	,	-0.000546353	,	-2.299959413
1.63885166	,	-5.43E-05	,	-2.322751567
1.981847932	,	0.000489995	,	-2.114078566
1.980275356	,	-2.25E-06	,	-2.115341276
1.597629571	,	-0.000546637	,	-2.348081342
1.565462717	,	-4.60E-05	,	-2.367322778
1.885232755	,	0.000456814	,	-2.172782729
1.883877145	,	-1.94E-06	,	-2.173892999
1.530690492	,	-0.000504552	,	-2.388714834
1.504496232	,	-3.74E-05	,	-2.404348529
1.835996872	,	0.000473572	,	-2.202677796
1.645472974	,	-0.000272177	,	-2.31885891
1.09966213	,	-0.00077973	,	-2.650681555
1.082769208	,	-2.41E-05	,	-2.660496018
1.615185356	,	0.000760594	,	-2.336617257
1.788251231	,	0.000247237	,	-2.231819881
1.41350356	,	-0.000535354	,	-2.459911744
1.413647757	,	2.06E-07	,	-2.459507264
1.779180404	,	0.000522189	,	-2.237157302
1.77041311	,	-1.25E-05	,	-2.242816901
1.396897196	,	-0.000533594	,	-2.469997314
